year,d_zone,district,area,public_place,private,official_place,temple_area,state_enterprise,elsewhere,overpass,bus_stop,park,shelter,vacant_land,commerce_building,entertainment_place,bridge,street,bridgesandroads,footpath,alley,village,market,tourist_attraction,academy,government,intersection,other,pier,promenade,footpathandalley,gardens_bridges,skytrain_station,tunnelundertheroad,sports_center,transport_station,religious_place,under_bridges,lonely_night,lone_day,blind_spot,desolate,dirty,old_building,damaged_light,obstructing_traffic,homeless,mingling_source,mayhem,extortion,accident_r,accident_f,accident_e,accident_s,accident_t,accident_o,harass,chaotically,danger_animals,landmark,crime_sexual,breeding_patho,other_risk,surveillance,clean,tree_pruning,adjust_landscape,demolish,check_cctv,install_cctv,repair_cctv,install_light,repair_light,warning_label,coordinate_police,traffic_officer,related_agencies,safety_equipment,d_data,punishment,pave_mainten,legal_action,other_spec2,rg64_value,total_score,range,rating
2564,กรุงเทพกลาง,วังทองหลาง,4,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,1,0,0,0,2,0,0,4,1,1,0,0,4,0,4,0,4,4,0,0,0,0,0,0,0,0,0,4,45,40-80,2
2564,กรุงเทพกลาง,ราชเทวี,8,8,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,4,50,40-80,2
2564,กรุงเทพกลาง,พระนคร,16,15,1,0,0,0,0,1,0,3,4,0,1,0,1,0,2,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,80,40-80,2
2564,กรุงเทพกลาง,พญาไท,5,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,33,0-40,1
2564,กรุงเทพกลาง,ป้อมปราบศัตรูพ่าย,7,7,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,7,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,7,7,0,0,0,0,0,0,0,0,0,4,61,40-80,2
2564,กรุงเทพกลาง,ดุสิต,5,5,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,47,40-80,2
2564,กรุงเทพกลาง,ดินแดง,9,9,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,4,65,40-80,2
2564,กรุงเทพใต้,สาทร,7,4,1,0,0,2,0,0,0,3,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,0,0,7,0,7,0,7,7,0,0,0,0,0,0,0,0,5,91,80-120,3
2564,กรุงเทพใต้,สวนหลวง,5,3,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,2,0,0,0,2,0,1,0,5,0,0,1,0,0,0,0,0,0,5,40,0-40,1
2564,กรุงเทพใต้,วัฒนา,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,5,22,0-40,1
2564,กรุงเทพใต้,ยานนาวา,9,7,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,0,1,0,0,0,0,8,0,1,1,0,0,0,0,0,0,0,6,1,0,0,0,0,2,0,1,0,0,2,0,0,9,0,1,3,0,1,4,0,2,0,9,8,0,2,0,0,0,0,0,0,5,88,80-120,3
2564,กรุงเทพใต้,พระโขนง,12,0,9,3,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,7,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,64,40-80,2
2564,กรุงเทพใต้,ปทุมวัน,13,10,1,1,1,0,0,0,1,0,0,0,0,0,2,4,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,13,0,4,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,10,0,0,6,0,0,13,0,1,0,0,0,0,0,0,5,113,80-120,3
2564,กรุงเทพใต้,บางรัก,23,12,5,5,0,0,1,0,1,1,1,0,0,0,1,0,1,2,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,13,0,8,0,0,0,6,0,2,1,0,1,8,7,0,0,0,0,7,0,1,0,0,0,0,16,0,6,0,0,0,0,0,0,13,0,0,7,0,0,0,0,0,0,0,5,159,120-160,4
2564,กรุงเทพใต้,บางนา,10,10,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,2,2,0,10,0,0,0,10,10,10,0,3,0,0,0,0,0,0,5,103,80-120,3
2564,กรุงเทพใต้,บางคอแหลม,11,3,2,6,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,11,3,2,0,0,11,0,0,5,0,5,0,6,0,0,0,0,0,0,0,5,92,80-120,3
2564,กรุงเทพใต้,คลองเตย,10,7,1,0,0,2,0,0,0,0,0,0,2,0,1,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,5,9,0,8,0,1,2,0,1,0,0,0,0,1,0,5,82,80-120,3
2564,กรุงเทพเหนือ,หลักสี่,13,13,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13,0,13,0,13,13,0,0,0,0,0,0,0,0,0,6,117,80-120,3
2564,กรุงเทพเหนือ,สายไหม,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,31,0-40,1
2564,กรุงเทพเหนือ,ลาดพร้าว,6,4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,6,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,60,40-80,2
2564,กรุงเทพเหนือ,บางซื่อ,8,8,0,0,0,0,0,3,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,0,8,0,8,1,8,8,8,0,0,0,0,8,0,8,0,6,101,80-120,3
2564,กรุงเทพเหนือ,บางเขน,8,8,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,7,0,7,0,7,0,0,0,0,0,0,0,0,0,6,61,40-80,2
2564,กรุงเทพเหนือ,ดอนเมือง,18,18,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,1,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,18,8,1,0,0,18,0,18,0,0,18,0,0,0,0,0,0,0,0,0,6,155,120-160,4
2564,กรุงเทพเหนือ,จตุจักร,12,9,1,2,0,0,0,0,0,5,0,0,0,0,0,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,6,2,4,2,7,5,4,4,5,7,0,1,0,0,2,0,3,0,1,0,0,0,0,9,2,8,7,1,3,11,3,9,7,2,0,0,0,0,0,0,0,0,0,6,159,120-160,4
