year,d_zone,district,area,public_place,private,official_place,temple_area,state_enterprise,elsewhere,overpass,bus_stop,park,shelter,vacant_land,commerce_building,entertainment_place,bridge,street,bridgesandroads,footpath,alley,village,market,tourist_attraction,academy,government,intersection,other,pier,promenade,footpathandalley,gardens_bridges,skytrain_station,tunnelundertheroad,sports_center,transport_station,religious_place,under_bridges,lonely_night,lone_day,blind_spot,desolate,dirty,old_building,damaged_light,obstructing_traffic,homeless,mingling_source,mayhem,extortion,accident_r,accident_f,accident_e,accident_s,accident_t,accident_o,harass,chaotically,danger_animals,landmark,crime_sexual,breeding_patho,other_risk,surveillance,clean,tree_pruning,adjust_landscape,demolish,check_cctv,install_cctv,repair_cctv,install_light,repair_light,warning_label,coordinate_police,traffic_officer,related_agencies,safety_equipment,d_data,punishment,pave_mainten,legal_action,other_spec2,rg65_value,total_score,predicted_rating,range,actual_rating
2565,กรุงธนเหนือ,จอมทอง,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,2,0,3,2,0,1,0,0,1,0,0,0,0,0,2,39,1,0-40,1
2565,กรุงธนเหนือ,คลองสาน,12,11,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,5,8,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,69,2,40-80,2
2565,กรุงเทพตะวันออก,หนองจอก,3,3,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,2,3,39,1,0-40,1
2565,กรุงเทพตะวันออก,สะพานสูง,11,11,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,11,0,11,0,0,0,4,0,0,1,10,10,0,0,0,0,0,0,0,0,0,0,0,0,9,11,4,6,1,0,0,2,0,8,2,0,0,0,0,11,0,0,0,0,0,3,134,4,120-160,4
2565,กรุงเทพตะวันออก,ลาดกระบัง,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,1,0-40,1
2565,กรุงเทพตะวันออก,มีนบุรี,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,3,24,1,0-40,1
2565,กรุงเทพตะวันออก,ประเวศ,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,4,0,2,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,0,0,1,0,0,2,0,3,0,0,0,0,0,0,0,0,3,38,1,0-40,1
2565,กรุงเทพตะวันออก,บึงกุ่ม,10,10,0,0,0,0,0,1,0,4,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,6,0,1,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,61,2,40-80,2
2565,กรุงเทพตะวันออก,บางกะปิ,9,8,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,3,0,0,2,5,0,6,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,2,3,2,0,0,1,0,4,1,1,2,0,1,0,0,0,0,0,0,3,70,2,40-80,2
2565,กรุงเทพตะวันออก,คันนายาว,6,6,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,1,0,0,6,0,0,5,6,0,0,0,0,0,0,0,0,0,3,59,2,40-80,2
2565,กรุงเทพตะวันออก,คลองสามวา,4,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,4,1,3,3,0,0,3,0,4,2,4,4,1,0,0,0,0,0,0,1,3,52,2,40-80,2
2565,กรุงเทพกลาง,ห้วยขวาง,3,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,4,22,1,0-40,1
2565,กรุงเทพกลาง,สัมพันธวงศ์,9,9,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,9,0,5,0,0,0,1,0,4,2,0,0,1,0,0,0,0,0,0,4,0,0,0,0,1,9,9,3,0,0,0,0,0,0,0,9,8,0,0,0,0,0,0,0,0,4,93,3,80-120,3
2565,กรุงเทพกลาง,วังทองหลาง,4,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,4,1,1,0,0,0,4,0,0,4,0,0,0,0,3,0,0,0,0,2,4,42,1,40-80,2
